	data	label
20784	[-1.  1. -1. ... -1. -1. -1.]	52
20785	[-1. -1.  1. ...  0.  0.  0.]	92
20786	[ 1.  1. -1. ...  0.  0.  0.]	66
20787	[ 1.  1. -1. ...  0.  0.  0.]	18
20788	[ 1. -1.  1. ...  0.  0.  0.]	57
20789	[ 1.  1. -1. ...  0.  0.  0.]	7
20790	[-1. -1.  1. ...  0.  0.  0.]	36
20791	[ 1.  1. -1. ...  0.  0.  0.]	9
20792	[ 1. -1.  1. ...  0.  0.  0.]	30
20793	[ 1. -1. -1. ...  1. -1. -1.]	13
20794	[ 1. -1. -1. ...  0.  0.  0.]	87
20795	[ 1. -1.  1. ... -1. -1. -1.]	21
20796	[-1.  1.  1. ...  0.  0.  0.]	73
20797	[-1.  1. -1. ...  0.  0.  0.]	41
20798	[ 1. -1. -1. ...  0.  0.  0.]	3
20799	[ 1. -1. -1. ... -1. -1. -1.]	80
20800	[ 1.  1. -1. ... -1. -1. -1.]	80
20801	[ 1. -1.  1. ... -1. -1. -1.]	60
20802	[ 1.  1. -1. ...  0.  0.  0.]	6
20803	[-1.  1.  1. ...  0.  0.  0.]	61
20804	[-1.  1.  1. ...  0.  0.  0.]	54
20805	[ 1. -1.  1. ...  0.  0.  0.]	59
20806	[ 1. -1. -1. ...  0.  0.  0.]	66
20807	[1. 1. 1. ... 0. 0. 0.]	81
20808	[ 1. -1. -1. ... -1. -1. -1.]	73
20809	[-1.  1.  1. ...  0.  0.  0.]	22
20810	[ 1. -1.  1. ...  0.  0.  0.]	14
20811	[-1.  1. -1. ... -1. -1. -1.]	21
20812	[ 1.  1. -1. ...  0.  0.  0.]	92
20813	[ 1.  1. -1. ...  0.  0.  0.]	70
20814	[ 1. -1.  1. ...  0.  0.  0.]	67
20815	[ 1.  1. -1. ...  0.  0.  0.]	65
20816	[-1.  1.  1. ...  0.  0.  0.]	71
20817	[ 1.  1. -1. ... -1. -1. -1.]	69
20818	[ 1. -1. -1. ...  0.  0.  0.]	75
20819	[ 1. -1.  1. ...  0.  0.  0.]	61
20820	[ 1.  1. -1. ...  0.  0.  0.]	92
20821	[1. 1. 1. ... 0. 0. 0.]	64
20822	[ 1.  1. -1. ...  0.  0.  0.]	63
20823	[-1.  1.  1. ...  0.  0.  0.]	35
20824	[ 1.  1. -1. ...  1.  1. -1.]	60
20825	[ 1. -1. -1. ...  0.  0.  0.]	87
20826	[ 1. -1.  1. ... -1. -1. -1.]	48
20827	[ 1. -1.  1. ...  0.  0.  0.]	26
20828	[ 1. -1.  1. ...  0.  0.  0.]	36
20829	[1. 1. 1. ... 0. 0. 0.]	82
20830	[-1.  1. -1. ...  0.  0.  0.]	3
20831	[-1. -1.  1. ... -1. -1. -1.]	45
20832	[-1.  1. -1. ...  0.  0.  0.]	49
20833	[-1. -1.  1. ...  0.  0.  0.]	90
20834	[ 1. -1. -1. ...  0.  0.  0.]	16
20835	[-1. -1. -1. ...  0.  0.  0.]	46
20836	[-1.  1.  1. ...  0.  0.  0.]	19
20837	[-1.  1.  1. ...  0.  0.  0.]	54
20838	[ 1. -1. -1. ...  0.  0.  0.]	16
20839	[-1. -1.  1. ... -1. -1. -1.]	49
20840	[ 1.  1. -1. ... -1. -1. -1.]	44
20841	[-1. -1.  1. ...  0.  0.  0.]	81
20842	[-1.  1. -1. ... -1. -1. -1.]	83
20843	[ 1. -1.  1. ...  0.  0.  0.]	3
20844	[ 1. -1. -1. ...  0.  0.  0.]	9
20845	[ 1. -1.  1. ... -1. -1.  1.]	83
20846	[1. 1. 1. ... 0. 0. 0.]	82
20847	[-1.  1.  1. ... -1. -1. -1.]	29
20848	[ 1. -1.  1. ...  0.  0.  0.]	57
20849	[ 1. -1.  1. ...  0.  0.  0.]	15
20850	[ 1. -1.  1. ...  0.  0.  0.]	23
20851	[-1.  1. -1. ...  0.  0.  0.]	46
20852	[ 1.  1. -1. ...  0.  0.  0.]	42
20853	[ 1. -1. -1. ...  0.  0.  0.]	0
20854	[ 1. -1.  1. ... -1. -1. -1.]	48
20855	[ 1. -1.  1. ...  0.  0.  0.]	82
20856	[ 1. -1.  1. ...  0.  0.  0.]	3
20857	[ 1.  1. -1. ...  0.  0.  0.]	67
20858	[-1. -1.  1. ... -1. -1. -1.]	49
20859	[ 1. -1.  1. ...  0.  0.  0.]	23
20860	[-1.  1.  1. ...  0.  0.  0.]	50
20861	[ 1.  1. -1. ... -1. -1. -1.]	29
20862	[ 1. -1.  1. ...  0.  0.  0.]	18
20863	[ 1. -1. -1. ...  0.  0.  0.]	4
20864	[ 1.  1. -1. ... -1. -1. -1.]	33
20865	[ 1. -1.  1. ... -1. -1. -1.]	49
20866	[-1.  1.  1. ...  0.  0.  0.]	36
20867	[ 1. -1.  1. ...  0.  0.  0.]	2
20868	[-1.  1. -1. ...  0.  0.  0.]	32
20869	[ 1. -1.  1. ... -1. -1.  1.]	17
20870	[ 1. -1.  1. ... -1. -1. -1.]	60
20871	[-1.  1.  1. ... -1. -1. -1.]	49
20872	[ 1. -1.  1. ... -1.  1. -1.]	13
20873	[ 1. -1. -1. ... -1. -1. -1.]	60
20874	[ 1.  1. -1. ... -1.  1. -1.]	20
20875	[ 1. -1. -1. ...  1. -1.  1.]	30
20876	[1. 1. 1. ... 0. 0. 0.]	94
20877	[-1.  1. -1. ...  0.  0.  0.]	53
20878	[ 1. -1.  1. ...  0.  0.  0.]	14
20879	[-1.  1. -1. ...  0.  0.  0.]	24
20880	[-1. -1.  1. ...  0.  0.  0.]	46
20881	[ 1.  1. -1. ...  0.  0.  0.]	27
20882	[-1. -1.  1. ...  0.  0.  0.]	86
20883	[-1.  1. -1. ...  0.  0.  0.]	61
20884	[1. 1. 1. ... 0. 0. 0.]	57
20885	[-1.  1.  1. ...  1. -1.  1.]	13
20886	[ 1. -1. -1. ... -1. -1. -1.]	52
20887	[ 1. -1.  1. ...  0.  0.  0.]	2
20888	[-1.  1.  1. ...  0.  0.  0.]	77
20889	[ 1. -1.  1. ...  0.  0.  0.]	1
20890	[-1.  1.  1. ...  0.  0.  0.]	18
20891	[ 1. -1.  1. ...  0.  0.  0.]	10
20892	[ 1.  1. -1. ...  0.  0.  0.]	59
20893	[ 1. -1.  1. ...  0.  0.  0.]	30
20894	[ 1.  1. -1. ...  0.  0.  0.]	7
20895	[ 1. -1. -1. ...  0.  0.  0.]	0
20896	[-1.  1.  1. ...  0.  0.  0.]	63
20897	[ 1.  1. -1. ... -1. -1. -1.]	85
20898	[ 1. -1.  1. ...  0.  0.  0.]	11
20899	[ 1. -1.  1. ...  0.  0.  0.]	42
20900	[-1. -1.  1. ... -1. -1. -1.]	47
20901	[ 1. -1.  1. ...  0.  0.  0.]	4
20902	[ 1.  1. -1. ... -1. -1. -1.]	60
20903	[-1. -1. -1. ...  0.  0.  0.]	94
20904	[ 1.  1. -1. ...  0.  0.  0.]	70
20905	[-1.  1.  1. ...  0.  0.  0.]	50
20906	[-1.  1. -1. ...  0.  0.  0.]	78
20907	[-1.  1.  1. ...  0.  0.  0.]	94
20908	[ 1. -1.  1. ... -1. -1. -1.]	47
20909	[ 1.  1. -1. ...  0.  0.  0.]	38
20910	[ 1. -1.  1. ...  0.  0.  0.]	76
20911	[ 1. -1.  1. ...  0.  0.  0.]	11
20912	[ 1.  1.  1. ... -1. -1. -1.]	47
20913	[ 1.  1. -1. ...  0.  0.  0.]	50
20914	[ 1.  1. -1. ...  0.  0.  0.]	16
20915	[ 1. -1. -1. ...  0.  0.  0.]	77
20916	[ 1. -1.  1. ...  0.  0.  0.]	79
20917	[1. 1. 1. ... 0. 0. 0.]	22
20918	[ 1.  1. -1. ...  0.  0.  0.]	34
20919	[-1. -1.  1. ...  0.  0.  0.]	50
20920	[1. 1. 1. ... 0. 0. 0.]	82
20921	[-1.  1.  1. ...  0.  0.  0.]	76
20922	[ 1.  1. -1. ...  0.  0.  0.]	78
20923	[-1.  1.  1. ...  0.  0.  0.]	54
20924	[ 1. -1.  1. ...  0.  0.  0.]	57
20925	[-1.  1.  1. ... -1. -1. -1.]	44
20926	[-1.  1.  1. ...  0.  0.  0.]	35
20927	[1. 1. 1. ... 0. 0. 0.]	76
20928	[-1. -1. -1. ...  0.  0.  0.]	72
20929	[-1.  1. -1. ...  0.  0.  0.]	92
20930	[-1.  1.  1. ...  0.  0.  0.]	61
20931	[-1.  1.  1. ...  0.  0.  0.]	61
20932	[ 1. -1. -1. ...  0.  0.  0.]	26
20933	[1. 1. 1. ... 0. 0. 0.]	32
20934	[ 1.  1. -1. ... -1. -1. -1.]	21
20935	[ 1. -1.  1. ...  0.  0.  0.]	1
20936	[ 1. -1.  1. ... -1. -1. -1.]	83
20937	[ 1. -1. -1. ...  0.  0.  0.]	94
20938	[-1.  1.  1. ...  0.  0.  0.]	74
20939	[1. 1. 1. ... 0. 0. 0.]	61
20940	[-1.  1.  1. ... -1. -1. -1.]	69
20941	[ 1.  1.  1. ...  1.  1. -1.]	65
20942	[ 1. -1.  1. ...  0.  0.  0.]	41
20943	[-1. -1.  1. ...  0.  0.  0.]	71
20944	[ 1.  1. -1. ...  0.  0.  0.]	81
20945	[-1. -1.  1. ...  0.  0.  0.]	22
20946	[ 1. -1. -1. ...  0.  0.  0.]	74
20947	[-1.  1. -1. ...  1. -1. -1.]	54
20948	[ 1. -1.  1. ...  0.  0.  0.]	3
20949	[ 1.  1. -1. ...  0.  0.  0.]	88
20950	[ 1. -1. -1. ...  0.  0.  0.]	36
20951	[ 1. -1. -1. ...  0.  0.  0.]	88
20952	[-1.  1.  1. ...  0.  0.  0.]	61
20953	[-1. -1. -1. ...  0.  0.  0.]	64
20954	[ 1. -1.  1. ...  0.  0.  0.]	40
20955	[-1.  1.  1. ...  0.  0.  0.]	91
20956	[ 1.  1. -1. ...  0.  0.  0.]	63
20957	[ 1. -1.  1. ...  1.  1. -1.]	69
20958	[-1. -1. -1. ...  0.  0.  0.]	64
20959	[ 1.  1. -1. ... -1. -1.  1.]	44
20960	[ 1. -1. -1. ...  0.  0.  0.]	15
20961	[-1. -1. -1. ...  0.  0.  0.]	90
20962	[-1. -1.  1. ... -1. -1. -1.]	48
20963	[-1.  1.  1. ...  0.  0.  0.]	12
20964	[-1.  1.  1. ...  0.  0.  0.]	39
20965	[-1.  1. -1. ...  0.  0.  0.]	16
20966	[ 1.  1. -1. ...  0.  0.  0.]	38
20967	[ 1. -1.  1. ...  0.  0.  0.]	43
20968	[ 1.  1. -1. ...  0.  0.  0.]	66
20969	[1. 1. 1. ... 0. 0. 0.]	50
20970	[-1.  1.  1. ...  0.  0.  0.]	77
20971	[ 1. -1.  1. ...  0.  0.  0.]	42
20972	[-1.  1. -1. ... -1. -1. -1.]	85
20973	[ 1. -1.  1. ...  0.  0.  0.]	1
20974	[ 1. -1. -1. ...  0.  0.  0.]	90
20975	[ 1.  1. -1. ...  0.  0.  0.]	56
20976	[ 1.  1. -1. ...  0.  0.  0.]	4
20977	[ 1. -1.  1. ...  0.  0.  0.]	57
20978	[ 1.  1. -1. ... -1. -1. -1.]	69
20979	[-1.  1.  1. ... -1. -1. -1.]	75
20980	[ 1. -1.  1. ...  0.  0.  0.]	59
20981	[ 1. -1.  1. ...  0.  0.  0.]	28
20982	[ 1.  1. -1. ...  0.  0.  0.]	42
20983	[ 1. -1.  1. ...  0.  0.  0.]	16
20984	[-1.  1. -1. ...  0.  0.  0.]	87
20985	[-1.  1.  1. ...  0.  0.  0.]	86
20986	[ 1. -1.  1. ...  0.  0.  0.]	37
20987	[1. 1. 1. ... 0. 0. 0.]	54
20988	[-1.  1. -1. ...  0.  0.  0.]	3
20989	[ 1. -1.  1. ...  0.  0.  0.]	88
20990	[1. 1. 1. ... 0. 0. 0.]	65
20991	[-1.  1. -1. ... -1. -1. -1.]	58
20992	[ 1. -1.  1. ...  0.  0.  0.]	33
20993	[-1. -1.  1. ... -1.  1. -1.]	48
20994	[-1. -1.  1. ...  0.  0.  0.]	90
20995	[ 1. -1. -1. ...  0.  0.  0.]	7
20996	[-1. -1.  1. ...  0.  0.  0.]	59
20997	[-1. -1. -1. ...  0.  0.  0.]	87
20998	[ 1. -1.  1. ...  0.  0.  0.]	62
20999	[ 1. -1. -1. ... -1. -1. -1.]	13
21000	[ 1. -1.  1. ...  0.  0.  0.]	30
21001	[ 1.  1.  1. ... -1.  1. -1.]	69
21002	[ 1.  1. -1. ...  0.  0.  0.]	6
21003	[ 1. -1. -1. ...  0.  0.  0.]	9
21004	[-1.  1. -1. ...  0.  0.  0.]	14
21005	[-1.  1.  1. ...  0.  0.  0.]	50
21006	[-1. -1.  1. ...  0.  0.  0.]	37
21007	[-1.  1.  1. ...  0.  0.  0.]	90
21008	[-1.  1. -1. ...  0.  0.  0.]	89
21009	[ 1.  1. -1. ... -1. -1. -1.]	73
21010	[ 1.  1. -1. ...  0.  0.  0.]	81
21011	[ 1. -1. -1. ... -1. -1. -1.]	48
21012	[-1.  1. -1. ...  0.  0.  0.]	25
21013	[-1. -1.  1. ...  0.  0.  0.]	86
21014	[-1. -1. -1. ...  0.  0.  0.]	42
21015	[ 1. -1. -1. ...  0.  0.  0.]	28
21016	[1. 1. 1. ... 0. 0. 0.]	93
21017	[ 1.  1. -1. ...  0.  0.  0.]	29
21018	[ 1. -1. -1. ...  0.  0.  0.]	74
21019	[ 1.  1. -1. ...  0.  0.  0.]	90
21020	[ 1. -1.  1. ...  0.  0.  0.]	46
21021	[ 1.  1. -1. ...  0.  0.  0.]	94
21022	[ 1.  1. -1. ...  0.  0.  0.]	82
21023	[ 1.  1. -1. ...  0.  0.  0.]	6
21024	[ 1.  1.  1. ... -1. -1.  1.]	69
21025	[ 1. -1. -1. ...  0.  0.  0.]	83
21026	[ 1. -1.  1. ...  0.  0.  0.]	41
21027	[-1.  1.  1. ... -1. -1. -1.]	85
21028	[ 1. -1.  1. ...  0.  0.  0.]	24
21029	[-1.  1.  1. ...  0.  0.  0.]	33
21030	[1. 1. 1. ... 0. 0. 0.]	62
21031	[ 1.  1. -1. ... -1. -1. -1.]	13
21032	[ 1. -1.  1. ...  0.  0.  0.]	57
21033	[-1.  1.  1. ...  0.  0.  0.]	53
21034	[1. 1. 1. ... 0. 0. 0.]	92
21035	[-1.  1. -1. ...  0.  0.  0.]	75
21036	[-1. -1.  1. ... -1. -1. -1.]	47
21037	[-1. -1.  1. ...  0.  0.  0.]	79
21038	[-1. -1. -1. ...  0.  0.  0.]	86
21039	[ 1.  1. -1. ... -1. -1.  1.]	44
21040	[-1.  1.  1. ...  0.  0.  0.]	56
21041	[-1.  1.  1. ...  0.  0.  0.]	71
21042	[ 1. -1.  1. ...  0.  0.  0.]	0
21043	[1. 1. 1. ... 0. 0. 0.]	8
21044	[ 1. -1. -1. ... -1. -1. -1.]	73
21045	[ 1. -1. -1. ... -1. -1. -1.]	44
21046	[ 1. -1. -1. ... -1. -1. -1.]	44
21047	[ 1.  1. -1. ...  0.  0.  0.]	23
21048	[ 1. -1.  1. ...  0.  0.  0.]	5
21049	[ 1. -1. -1. ...  0.  0.  0.]	72
21050	[ 1. -1.  1. ...  0.  0.  0.]	19
21051	[-1.  1.  1. ...  0.  0.  0.]	86
21052	[ 1.  1. -1. ... -1. -1. -1.]	10
21053	[-1. -1.  1. ... -1. -1. -1.]	47
21054	[ 1. -1.  1. ...  0.  0.  0.]	61
21055	[-1.  1. -1. ...  0.  0.  0.]	53
21056	[ 1. -1.  1. ...  1.  1.  1.]	67
21057	[ 1.  1. -1. ...  0.  0.  0.]	10
21058	[ 1. -1.  1. ...  0.  0.  0.]	1
21059	[ 1. -1.  1. ...  0.  0.  0.]	5
21060	[ 1. -1.  1. ...  0.  0.  0.]	81
21061	[ 1.  1. -1. ...  0.  0.  0.]	63
21062	[-1. -1.  1. ... -1. -1. -1.]	45
21063	[ 1.  1. -1. ...  0.  0.  0.]	67
21064	[-1.  1.  1. ... -1. -1. -1.]	69
21065	[-1.  1.  1. ...  0.  0.  0.]	61
21066	[1. 1. 1. ... 0. 0. 0.]	71
21067	[-1.  1.  1. ...  0.  0.  0.]	88
21068	[ 1. -1.  1. ...  0.  0.  0.]	38
21069	[-1.  1. -1. ...  0.  0.  0.]	9
21070	[ 1.  1. -1. ...  0.  0.  0.]	76
21071	[-1.  1. -1. ...  0.  0.  0.]	27
21072	[-1.  1. -1. ...  0.  0.  0.]	84
21073	[ 1. -1.  1. ...  0.  0.  0.]	36
21074	[ 1. -1.  1. ...  0.  0.  0.]	24
21075	[-1.  1. -1. ... -1. -1. -1.]	44
21076	[ 1.  1. -1. ...  0.  0.  0.]	86
21077	[-1. -1. -1. ...  0.  0.  0.]	76
21078	[-1.  1.  1. ...  0.  0.  0.]	61
21079	[ 1. -1.  1. ...  0.  0.  0.]	5
21080	[-1.  1.  1. ...  0.  0.  0.]	23
21081	[ 1. -1. -1. ...  0.  0.  0.]	56
21082	[ 1.  1. -1. ...  1. -1.  1.]	69
21083	[-1.  1.  1. ...  0.  0.  0.]	37
21084	[-1.  1.  1. ...  0.  0.  0.]	79
21085	[ 1. -1.  1. ...  0.  0.  0.]	14
21086	[-1. -1.  1. ...  0.  0.  0.]	92
21087	[ 1. -1.  1. ... -1. -1. -1.]	29
21088	[1. 1. 1. ... 0. 0. 0.]	61
21089	[-1.  1.  1. ...  0.  0.  0.]	65
21090	[ 1.  1. -1. ... -1.  1. -1.]	91
21091	[ 1. -1.  1. ...  0.  0.  0.]	42
21092	[ 1.  1.  1. ... -1.  1. -1.]	73
21093	[-1. -1.  1. ...  0.  0.  0.]	46
21094	[ 1.  1. -1. ... -1. -1. -1.]	6
21095	[-1.  1. -1. ...  0.  0.  0.]	24
21096	[ 1. -1. -1. ...  0.  0.  0.]	59
21097	[ 1. -1. -1. ...  0.  0.  0.]	0
21098	[ 1. -1. -1. ... -1. -1. -1.]	20
21099	[ 1. -1.  1. ...  0.  0.  0.]	84
21100	[-1.  1.  1. ...  1. -1. -1.]	91
21101	[-1.  1.  1. ...  0.  0.  0.]	84
21102	[ 1. -1.  1. ...  0.  0.  0.]	50
21103	[ 1. -1.  1. ...  0.  0.  0.]	18
21104	[-1.  1. -1. ...  0.  0.  0.]	87
21105	[-1.  1. -1. ...  0.  0.  0.]	32
21106	[-1. -1. -1. ...  0.  0.  0.]	73
21107	[-1.  1.  1. ...  1. -1. -1.]	75
21108	[ 1. -1.  1. ...  0.  0.  0.]	21
21109	[-1.  1. -1. ...  0.  0.  0.]	90
21110	[1. 1. 1. ... 0. 0. 0.]	42
21111	[ 1. -1. -1. ...  0.  0.  0.]	90
21112	[ 1. -1.  1. ...  0.  0.  0.]	22
21113	[ 1. -1. -1. ...  0.  0.  0.]	16
21114	[1. 1. 1. ... 0. 0. 0.]	17
21115	[1. 1. 1. ... 0. 0. 0.]	12
21116	[-1.  1. -1. ... -1. -1. -1.]	44
21117	[ 1. -1. -1. ... -1.  1. -1.]	21
21118	[ 1. -1.  1. ...  0.  0.  0.]	30
21119	[-1.  1. -1. ...  0.  0.  0.]	27
21120	[-1. -1. -1. ...  0.  0.  0.]	27
21121	[ 1. -1.  1. ... -1. -1. -1.]	6
21122	[ 1.  1. -1. ...  0.  0.  0.]	56
21123	[-1.  1.  1. ...  0.  0.  0.]	43
21124	[-1. -1. -1. ... -1. -1. -1.]	13
21125	[-1. -1.  1. ...  0.  0.  0.]	29
21126	[ 1. -1.  1. ...  0.  0.  0.]	42
21127	[1. 1. 1. ... 0. 0. 0.]	61
21128	[-1.  1.  1. ...  0.  0.  0.]	53
21129	[-1.  1. -1. ...  0.  0.  0.]	66
21130	[-1.  1.  1. ...  0.  0.  0.]	84
21131	[ 1. -1. -1. ...  0.  0.  0.]	16
21132	[-1.  1.  1. ...  0.  0.  0.]	78
21133	[-1.  1.  1. ...  0.  0.  0.]	59
21134	[-1.  1.  1. ... -1. -1. -1.]	56
21135	[-1.  1. -1. ... -1. -1. -1.]	58
21136	[ 1. -1.  1. ... -1. -1. -1.]	45
21137	[ 1. -1.  1. ...  0.  0.  0.]	57
21138	[ 1. -1. -1. ...  0.  0.  0.]	14
21139	[1. 1. 1. ... 0. 0. 0.]	87
21140	[ 1.  1. -1. ...  0.  0.  0.]	70
21141	[-1.  1. -1. ...  0.  0.  0.]	17
21142	[1. 1. 1. ... 0. 0. 0.]	37
21143	[-1.  1. -1. ... -1. -1. -1.]	13
21144	[ 1. -1.  1. ...  0.  0.  0.]	41
21145	[-1. -1.  1. ... -1. -1. -1.]	67
21146	[-1. -1.  1. ...  0.  0.  0.]	54
21147	[-1.  1.  1. ...  0.  0.  0.]	30
21148	[-1. -1.  1. ...  0.  0.  0.]	62
21149	[ 1. -1.  1. ... -1.  1. -1.]	56
21150	[ 1.  1. -1. ...  0.  0.  0.]	23
21151	[-1.  1.  1. ...  0.  0.  0.]	71
21152	[ 1.  1. -1. ...  0.  0.  0.]	33
21153	[-1. -1.  1. ...  0.  0.  0.]	86
21154	[-1.  1.  1. ...  0.  0.  0.]	29
21155	[-1.  1.  1. ... -1. -1. -1.]	60
21156	[-1.  1.  1. ...  0.  0.  0.]	11
21157	[-1.  1. -1. ...  0.  0.  0.]	30
21158	[ 1.  1. -1. ...  0.  0.  0.]	88
21159	[ 1.  1. -1. ...  0.  0.  0.]	72
21160	[ 1. -1. -1. ...  0.  0.  0.]	28
21161	[ 1. -1. -1. ...  0.  0.  0.]	5
21162	[ 1. -1.  1. ...  0.  0.  0.]	25
21163	[ 1.  1.  1. ... -1.  1.  1.]	69
21164	[ 1. -1. -1. ...  0.  0.  0.]	14
21165	[ 1. -1. -1. ...  0.  0.  0.]	41
21166	[ 1.  1. -1. ...  0.  0.  0.]	18
21167	[-1.  1.  1. ...  0.  0.  0.]	72
21168	[-1.  1. -1. ...  0.  0.  0.]	30
21169	[ 1. -1. -1. ...  0.  0.  0.]	53
21170	[-1. -1.  1. ...  0.  0.  0.]	36
21171	[1. 1. 1. ... 0. 0. 0.]	43
21172	[ 1. -1.  1. ... -1. -1. -1.]	45
21173	[ 1.  1. -1. ... -1. -1. -1.]	47
21174	[-1. -1.  1. ...  0.  0.  0.]	89
21175	[ 1.  1. -1. ...  0.  0.  0.]	65
21176	[-1.  1. -1. ...  0.  0.  0.]	40
21177	[ 1. -1. -1. ... -1. -1. -1.]	48
21178	[ 1. -1.  1. ...  0.  0.  0.]	0
21179	[-1. -1.  1. ...  0.  0.  0.]	87
21180	[ 1.  1. -1. ...  0.  0.  0.]	92
21181	[ 1. -1.  1. ...  0.  0.  0.]	2
21182	[ 1. -1.  1. ...  0.  0.  0.]	87
21183	[-1.  1.  1. ...  0.  0.  0.]	75
21184	[ 1.  1. -1. ... -1. -1. -1.]	13
21185	[ 1.  1. -1. ...  0.  0.  0.]	87
21186	[1. 1. 1. ... 0. 0. 0.]	50
21187	[-1.  1. -1. ...  0.  0.  0.]	59
21188	[-1. -1.  1. ... -1. -1.  1.]	13
21189	[ 1. -1.  1. ...  0.  0.  0.]	57
21190	[ 1. -1. -1. ...  0.  0.  0.]	14
21191	[ 1. -1. -1. ...  0.  0.  0.]	9
21192	[ 1.  1. -1. ...  0.  0.  0.]	77
21193	[-1. -1.  1. ...  0.  0.  0.]	46
21194	[ 1. -1.  1. ...  0.  0.  0.]	67
21195	[-1.  1. -1. ...  0.  0.  0.]	37
21196	[1. 1. 1. ... 0. 0. 0.]	82
21197	[ 1. -1. -1. ... -1.  1. -1.]	69
21198	[1. 1. 1. ... 0. 0. 0.]	62
21199	[ 1. -1.  1. ...  0.  0.  0.]	49
21200	[ 1. -1. -1. ...  0.  0.  0.]	25
21201	[-1. -1.  1. ...  0.  0.  0.]	84
21202	[1. 1. 1. ... 0. 0. 0.]	39
21203	[-1.  1.  1. ...  0.  0.  0.]	86
21204	[ 1. -1.  1. ... -1. -1. -1.]	20
21205	[-1.  1.  1. ...  0.  0.  0.]	37
21206	[ 1. -1. -1. ...  0.  0.  0.]	42
21207	[ 1. -1.  1. ...  0.  0.  0.]	0
21208	[1. 1. 1. ... 0. 0. 0.]	70
21209	[-1. -1.  1. ...  0.  0.  0.]	59
21210	[ 1.  1. -1. ...  0.  0.  0.]	86
21211	[ 1.  1. -1. ...  0.  0.  0.]	4
21212	[-1. -1. -1. ...  1.  1. -1.]	91
21213	[ 1. -1.  1. ...  0.  0.  0.]	53
21214	[ 1. -1.  1. ...  0.  0.  0.]	5
21215	[ 1.  1. -1. ...  0.  0.  0.]	90
21216	[ 1. -1.  1. ...  0.  0.  0.]	28
21217	[ 1. -1. -1. ... -1. -1. -1.]	17
21218	[-1.  1. -1. ...  0.  0.  0.]	0
21219	[ 1. -1. -1. ...  0.  0.  0.]	77
21220	[ 1. -1. -1. ...  0.  0.  0.]	67
21221	[ 1. -1.  1. ...  0.  0.  0.]	92
21222	[ 1. -1.  1. ...  0.  0.  0.]	2
21223	[-1.  1.  1. ...  0.  0.  0.]	11
21224	[-1.  1. -1. ...  0.  0.  0.]	11
21225	[ 1. -1. -1. ... -1. -1. -1.]	21
21226	[ 1. -1.  1. ... -1. -1. -1.]	83
21227	[ 1. -1.  1. ...  0.  0.  0.]	41
21228	[-1. -1.  1. ...  0.  0.  0.]	22
21229	[ 1.  1. -1. ...  0.  0.  0.]	15
21230	[ 1.  1. -1. ...  0.  0.  0.]	22
21231	[ 1. -1. -1. ...  0.  0.  0.]	62
21232	[ 1.  1. -1. ... -1. -1. -1.]	91
21233	[-1.  1.  1. ...  0.  0.  0.]	63
21234	[ 1. -1.  1. ...  0.  0.  0.]	29
21235	[-1.  1.  1. ...  0.  0.  0.]	72
21236	[ 1. -1.  1. ... -1. -1. -1.]	44
21237	[-1.  1. -1. ...  0.  0.  0.]	90
21238	[ 1. -1.  1. ... -1. -1. -1.]	73
21239	[ 1. -1. -1. ...  0.  0.  0.]	82
21240	[-1.  1.  1. ...  0.  0.  0.]	68
21241	[-1. -1. -1. ... -1. -1. -1.]	80
21242	[ 1. -1.  1. ...  0.  0.  0.]	8
21243	[1. 1. 1. ... 0. 0. 0.]	75
21244	[ 1. -1.  1. ...  0.  0.  0.]	81
21245	[-1.  1.  1. ...  0.  0.  0.]	42
21246	[-1. -1.  1. ... -1. -1. -1.]	85
21247	[ 1. -1. -1. ...  0.  0.  0.]	81
21248	[-1.  1.  1. ...  0.  0.  0.]	24
21249	[ 1. -1.  1. ...  0.  0.  0.]	16
21250	[-1.  1.  1. ...  0.  0.  0.]	74
21251	[-1. -1.  1. ...  0.  0.  0.]	84
21252	[-1.  1.  1. ...  0.  0.  0.]	2
21253	[ 1. -1.  1. ... -1. -1. -1.]	17
21254	[-1.  1. -1. ...  0.  0.  0.]	12
21255	[ 1.  1. -1. ...  0.  0.  0.]	7
21256	[ 1. -1. -1. ... -1. -1.  1.]	80
21257	[ 1. -1.  1. ... -1. -1. -1.]	49
21258	[-1.  1.  1. ... -1. -1. -1.]	56
21259	[ 1. -1.  1. ...  0.  0.  0.]	43
21260	[ 1.  1.  1. ... -1. -1. -1.]	58
21261	[-1.  1.  1. ...  0.  0.  0.]	41
21262	[ 1.  1. -1. ... -1. -1. -1.]	13
21263	[-1.  1.  1. ...  0.  0.  0.]	33
21264	[ 1. -1.  1. ...  0.  0.  0.]	0
21265	[ 1. -1.  1. ...  0.  0.  0.]	64
21266	[-1.  1.  1. ... -1.  1. -1.]	69
21267	[ 1.  1. -1. ...  0.  0.  0.]	35
21268	[ 1.  1. -1. ...  0.  0.  0.]	59
21269	[ 1.  1. -1. ...  0.  0.  0.]	18
21270	[ 1. -1.  1. ...  0.  0.  0.]	9
21271	[1. 1. 1. ... 0. 0. 0.]	38
21272	[-1.  1.  1. ...  0.  0.  0.]	42
21273	[ 1. -1. -1. ...  0.  0.  0.]	35
21274	[1. 1. 1. ... 0. 0. 0.]	54
